dataset,modo,threads,schedule,chunk,block,rep,iters,sse_final,time_ms,median_ms,h2d_ms,kernel_ms,d2h_ms,total_ms
g,omp,2,static,NA,NA,5,3,333373.975493,21.753,NA,NA,NA,NA,NA
g,omp,2,static,NA,NA,0,NA,NA,NA,21.753,NA,NA,NA,NA
g,omp,4,static,NA,NA,1,3,333373.975493,14.856,NA,NA,NA,NA,NA
g,omp,4,static,NA,NA,2,3,333373.975493,15.207,NA,NA,NA,NA,NA
g,omp,4,static,NA,NA,3,3,333373.975493,14.623,NA,NA,NA,NA,NA
g,omp,4,static,NA,NA,4,3,333373.975493,15.049,NA,NA,NA,NA,NA
g,omp,4,static,NA,NA,5,3,333373.975493,15.024,NA,NA,NA,NA,NA
g,omp,4,static,NA,NA,0,NA,NA,NA,15.024,NA,NA,NA,NA
g,omp,8,static,NA,NA,1,3,333373.975493,12.115,NA,NA,NA,NA,NA
g,omp,8,static,NA,NA,2,3,333373.975493,12.172,NA,NA,NA,NA,NA
g,omp,8,static,NA,NA,3,3,333373.975493,12.425,NA,NA,NA,NA,NA
g,omp,8,static,NA,NA,4,3,333373.975493,12.230,NA,NA,NA,NA,NA
g,omp,8,static,NA,NA,5,3,333373.975493,12.396,NA,NA,NA,NA,NA
g,omp,8,static,NA,NA,0,NA,NA,NA,12.230,NA,NA,NA,NA
g,omp,16,static,NA,NA,1,3,333373.975493,40.637,NA,NA,NA,NA,NA
g,omp,16,static,NA,NA,2,3,333373.975493,51.030,NA,NA,NA,NA,NA
g,omp,16,static,NA,NA,3,3,333373.975493,47.901,NA,NA,NA,NA,NA
g,omp,16,static,NA,NA,4,3,333373.975493,41.723,NA,NA,NA,NA,NA
g,omp,16,static,NA,NA,5,3,333373.975493,42.025,NA,NA,NA,NA,NA
g,omp,16,static,NA,NA,0,NA,NA,NA,42.025,NA,NA,NA,NA
g,omp,1,dynamic,NA,NA,1,3,333373.975493,110.787,NA,NA,NA,NA,NA
g,omp,1,dynamic,NA,NA,2,3,333373.975493,117.718,NA,NA,NA,NA,NA
