dataset,modo,threads,schedule,chunk,rep,iters,sse_final,time_ms,median_ms
p,omp,8,static,1,3,3,3307.377030,0.820,NA
p,omp,8,static,1,4,3,3307.377030,0.829,NA
p,omp,8,static,1,5,3,3307.377030,0.887,NA
p,omp,8,static,1,0,NA,NA,NA,0.829
p,omp,16,static,1,1,3,3307.377030,47.115,NA
p,omp,16,static,1,2,3,3307.377030,45.547,NA
p,omp,16,static,1,3,3,3307.377030,44.889,NA
p,omp,16,static,1,4,3,3307.377030,38.347,NA
p,omp,16,static,1,5,3,3307.377030,41.060,NA
p,omp,16,static,1,0,NA,NA,NA,44.889
p,omp,1,static,64,1,3,3307.377030,0.123,NA
p,omp,1,static,64,2,3,3307.377030,0.139,NA
p,omp,1,static,64,3,3,3307.377030,0.118,NA
p,omp,1,static,64,4,3,3307.377030,0.123,NA
p,omp,1,static,64,5,3,3307.377030,0.126,NA
p,omp,1,static,64,0,NA,NA,NA,0.123
p,omp,2,static,64,1,3,3307.377030,0.673,NA
p,omp,2,static,64,2,3,3307.377030,0.824,NA
p,omp,2,static,64,3,3,3307.377030,0.725,NA
p,omp,2,static,64,4,3,3307.377030,0.760,NA
p,omp,2,static,64,5,3,3307.377030,0.767,NA
p,omp,2,static,64,0,NA,NA,NA,0.760
p,omp,4,static,64,1,3,3307.377030,0.472,NA
p,omp,4,static,64,2,3,3307.377030,0.941,NA
p,omp,4,static,64,3,3,3307.377030,0.588,NA
p,omp,4,static,64,4,3,3307.377030,0.434,NA
p,omp,4,static,64,5,3,3307.377030,0.447,NA
p,omp,4,static,64,0,NA,NA,NA,0.472
p,omp,8,static,64,1,3,3307.377030,0.839,NA
p,omp,8,static,64,2,3,3307.377030,0.686,NA
p,omp,8,static,64,3,3,3307.377030,0.677,NA
p,omp,8,static,64,4,3,3307.377030,0.718,NA
p,omp,8,static,64,5,3,3307.377030,0.640,NA
p,omp,8,static,64,0,NA,NA,NA,0.686
p,omp,16,static,64,1,3,3307.377030,46.498,NA
p,omp,16,static,64,2,3,3307.377030,1.012,NA
p,omp,16,static,64,3,3,3307.377030,46.763,NA
p,omp,16,static,64,4,3,3307.377030,40.386,NA
p,omp,16,static,64,5,3,3307.377030,39.394,NA
p,omp,16,static,64,0,NA,NA,NA,40.386
p,omp,1,static,256,1,3,3307.377030,0.128,NA
p,omp,1,static,256,2,3,3307.377030,0.126,NA
p,omp,1,static,256,3,3,3307.377030,0.330,NA
p,omp,1,static,256,4,3,3307.377030,0.123,NA
p,omp,1,static,256,5,3,3307.377030,0.125,NA
p,omp,1,static,256,0,NA,NA,NA,0.126
p,omp,2,static,256,1,3,3307.377030,0.768,NA
p,omp,2,static,256,2,3,3307.377030,0.782,NA
p,omp,2,static,256,3,3,3307.377030,0.505,NA
p,omp,2,static,256,4,3,3307.377030,0.800,NA
p,omp,2,static,256,5,3,3307.377030,1.615,NA
p,omp,2,static,256,0,NA,NA,NA,0.782
p,omp,4,static,256,1,3,3307.377030,0.731,NA
p,omp,4,static,256,2,3,3307.377030,0.579,NA
p,omp,4,static,256,3,3,3307.377030,0.484,NA
p,omp,4,static,256,4,3,3307.377030,0.439,NA
p,omp,4,static,256,5,3,3307.377030,0.626,NA
p,omp,4,static,256,0,NA,NA,NA,0.579
p,omp,8,static,256,1,3,3307.377030,0.834,NA
p,omp,8,static,256,2,3,3307.377030,0.714,NA
p,omp,8,static,256,3,3,3307.377030,0.687,NA
p,omp,8,static,256,4,3,3307.377030,0.695,NA
p,omp,8,static,256,5,3,3307.377030,0.616,NA
p,omp,8,static,256,0,NA,NA,NA,0.695
p,omp,16,static,256,1,3,3307.377030,0.982,NA
p,omp,16,static,256,2,3,3307.377030,44.917,NA
p,omp,16,static,256,3,3,3307.377030,0.927,NA
p,omp,16,static,256,4,3,3307.377030,46.907,NA
p,omp,16,static,256,5,3,3307.377030,45.761,NA
p,omp,16,static,256,0,NA,NA,NA,44.917
p,omp,1,static,1024,1,3,3307.377030,0.122,NA
p,omp,1,static,1024,2,3,3307.377030,0.121,NA
p,omp,1,static,1024,3,3,3307.377030,0.117,NA
